proteins,PDAC,PDAC_DB,PDAC_DB.1,PDAC_DB.2,PDAC_t,PDAC_t.1,PDAC_t.2,PDAC_t.3,PDAC_t.4,PDAC_t.5,PDAC_t.6,PDAC_t.7,PDAC_t.8,PDAC_t.9,PDAC.1,PDAC.10,PDAC.11,PDAC.12,PDAC.13,PDAC.14,PDAC.15,PDAC.16,PDAC.17,PDAC.18,PDAC.19,PDAC.2,PDAC.20,PDAC.21,PDAC.22,PDAC.23,PDAC.24,PDAC.25,PDAC.26,PDAC.27,PDAC.28,PDAC.29,PDAC.3,PDAC.30,PDAC.31,PDAC.32,PDAC.33,PDAC.34,PDAC.35,PDAC.36,PDAC.37,PDAC.38,PDAC.39,PDAC.4,PDAC.40,PDAC.41,PDAC.42,PDAC.43,PDAC.44,PDAC.5,PDAC.6,PDAC.7,PDAC.8,PDAC.9
O00410,-1.291765983,-2.162391883,-2.093206854,-2.071222309,-0.467522606,-1.158753567,-0.818357743,-3.522520423,-2.049678706,0.017420407,-1.821522683,-1.257027689,1.305639848,-1.052587649,-2.039061659,-1.308781902,-1.310698482,-1.304877822,-1.316803143,-1.27683021,-1.483641921,-1.396060192,0.391873321,-0.227619057,-2.0113388,-2.175290239,-1.296090558,-0.651316232,-0.773825654,-1.349333701,-1.403082899,-1.285866806,0.272550231,-2.226495452,-1.436861274,-1.927530036,-1.138728425,0.12279194,-1.114259882,0.235804763,-1.344492597,0.284797792,-1.170233828,-2.056827552,0.23137879,1.038650131,-1.435472873,-2.011938403,-1.402322052,-2.058796991,-1.368722914,-0.340777665,-2.161654399,-0.361223131,-1.350689341,-2.003153159,-1.428421469,-1.331998759
O00422,-0.114201184,-0.990779543,-0.167055865,-0.694643838,-0.875572116,-0.361132164,-1.593455326,-0.486279005,-2.147908743,-0.798574884,-0.076420194,-1.49706347,-0.964060835,0.062820103,-0.102699521,-0.075749935,-0.133133683,-0.885951762,-0.083771176,-0.043798243,-0.68754301,-0.026168525,-1.031643181,-0.437734089,-0.661730948,-0.994079888,-0.063058592,-0.85911216,-0.659940546,-0.611277176,-0.778539657,-0.052834839,-0.792577825,-0.095111144,-0.066969607,-0.319585594,-0.724083428,-1.018581865,-0.513235646,-0.731899563,-0.166927798,-1.033845772,-0.755588831,-0.204962603,-0.736325536,0.392752317,-0.065581206,-0.66233055,-0.816884833,-0.83068334,-0.191158115,0.439136952,-0.783319985,-0.929357899,-0.173124542,-0.653545306,-0.058529802,-0.15443396
O00425,0.439889398,-0.034997311,0.067880982,0.032707519,0.56570742,0.910994075,0.479069226,0.626818484,0.564943574,0.459160261,0.637440656,0.759010196,0.510979231,0.775818372,0.06538137,-1.025810096,0.613221465,0.084256623,0.650197909,0.610495723,0.513657995,0.705136416,0.746637236,0.621645702,-0.113650859,0.567434167,0.728070496,0.106897022,0.519416627,-0.14212293,0.776806712,0.410839174,0.312306125,-0.255807493,-0.252036784,0.893435498,0.64265157,0.621645702,0.798304573,0.599168953,-0.51760765,0.476132988,0.695938372,0.250115635,0.737958083,0.180077993,0.605409541,-0.164167256,0.149124349,0.424103608,0.597205227,-0.180605842,0.596872114,0.577775028,0.532370712,-0.155382012,0.652949437,1.084698493
O00483,1.011674606,1.010983874,1.037776242,0.937202698,0.506263308,0.792998569,-0.608864954,1.166919442,1.014094148,0.563969025,0.950040664,1.135017283,0.117651005,0.767742027,0.918189345,0.862602497,0.992742107,0.963628861,0.81767003,0.894554189,0.970592127,0.961339928,0.819005875,0.689389116,0.945912203,1.033671061,0.87529384,0.978548453,0.945711673,1.002332307,1.127593195,0.885517593,0.678051053,0.916768138,0.920538846,0.939369075,0.999036128,0.689389116,0.90454658,0.738729316,0.924014086,0.67412521,0.967530725,0.880132,0.583549438,-0.749762239,0.921927248,0.945312601,0.917023075,1.109132999,0.934717675,-0.888325613,1.146381672,0.642258517,0.952751248,0.954097845,0.928978651,0.97144183
O00487,-0.387119552,0.410764932,-0.549565427,-1.151177912,-0.127121105,-0.625529991,-0.225864903,-0.52324996,-0.317651484,-0.245773868,-0.180406993,-0.618445383,-0.238998317,-0.453927437,-0.408910651,-0.400774375,-0.145558563,-0.709820125,-0.622350322,-0.07055106,-0.295264576,-0.293165245,-0.235655119,-0.792676025,-0.594742499,-0.182926112,-0.089811408,-0.598847965,-0.222688808,-0.574008923,-0.248784785,-0.591413985,-0.183531892,0.199545215,-0.415806173,0.200393977,-0.149685073,-0.222593803,-0.455491165,-0.122853629,-0.439846166,-0.23785771,-0.186852872,-0.318847277,-0.046712844,-0.145935546,-0.511873994,-0.381787395,-0.37624678,-0.197191775,0.195742577,-0.754954028,-0.134597073,-0.164330406,-0.446042909,-0.373002151,0.211755729,-0.736941062
O00515,0.246175248,0.827710077,0.164238512,0.211976881,0.339298971,0.568817175,0.339468302,-0.262111165,1.042773133,0.39123071,0.215774044,0.354717258,0.191135607,0.793228949,0.029719167,0.058580018,0.228006084,0.499402187,-0.004021846,0.280427543,0.399780039,0.332064899,0.719450836,0.458190434,0.364214766,0.358079461,0.071271361,0.302956852,0.446570959,0.433126325,0.468420943,0.060770539,0.609769324,0.18564999,0.073391919,0.554717954,0.710021649,0.572871838,0.472028455,0.506394367,0.193448634,0.557607932,0.678516246,0.096296251,0.501968394,0.124430387,0.292652219,0.056842423,0.356886652,0.394247129,0.071145611,0.122802146,0.372528016,0.651129885,0.122124531,0.065627667,0.081831724,0.160982212
O00541,-0.239590919,-0.79018991,-0.674728546,-0.695187389,-0.498878117,0.123092937,-0.995659513,-1.014460267,-0.993064316,0.08597561,-0.31635863,0.143860106,-0.612070412,-0.745956186,-0.698987579,-0.312171066,-0.258523417,-0.646416144,-0.320192307,-0.280219375,0.02649709,-0.288608637,-0.424564179,-0.322737767,-0.674612304,-0.785920667,-0.299479723,-0.747022146,-0.166626359,-0.254653387,0.038310408,-0.28925597,-0.473807584,-0.739512718,-0.329409719,-0.541056271,-0.096845982,-0.411502863,-0.120354514,-0.413129322,-0.292317533,-0.42676677,-0.128351385,-0.382264292,-0.417555295,0.258545277,-0.328021318,-0.675211906,-0.704794819,-0.217631174,-0.31654785,-0.204385433,-0.33316452,-0.435628433,-0.298514276,-0.666426663,-0.320969914,-0.279823695
O00567,-0.028505894,0.265696244,0.049525132,0.261989017,-0.005024565,0.459958403,-1.236212322,0.386814425,0.315174141,-0.400894465,0.161207558,0.647884819,-0.843941398,0.183739339,-0.089399468,0.021467649,0.19049727,-0.113340416,0.1680114,0.216543145,0.269667179,-0.208983279,-0.134784311,-0.025645492,-0.336734681,0.136318976,-0.345458805,-0.516546228,0.140939873,0.072054265,-1.264369288,-0.147432383,-0.257714561,0.148382462,-0.001711877,0.543250618,0.526903071,-0.530345264,0.30539751,-0.625316088,-0.15435461,-0.979044625,-0.172752083,0.209177162,-0.952722508,0.077520985,0.318731548,-0.592106076,0.048343899,-0.504999637,0.288847047,0.226894295,0.964594125,-0.463190277,0.079919735,-1.027956931,0.107907418,0.098610317
O00571,-0.652240762,-0.187478789,-0.562906554,-0.187612283,0.58153897,-0.053221905,0.297923273,-0.243995307,-0.446883747,0.164334027,-0.142555757,-0.082757383,0.723335827,-0.318959623,0.204259528,-0.312674772,-0.228225776,-0.765633781,-0.072847392,0.192302417,0.207910099,-0.14029171,0.195587397,0.344435941,-0.793456676,-0.85134143,0.162360293,-0.470887287,0.254261758,-0.30221104,0.322805998,0.074451976,0.534712271,-0.367830603,-0.074264619,-0.56542313,-0.941774636,0.74866389,0.281466928,0.48509208,-0.230322823,0.403397838,0.837350649,0.020785503,0.564604002,0.208156387,-0.032163131,-0.061329158,-0.49756694,0.173295815,-0.468040672,-0.307551715,-0.153621484,0.59631852,0.042296594,-0.203818744,-0.02712684,-0.0243694
O14579,-0.680393041,0.375122371,0.488219465,0.457749255,0.294551164,0.346481464,0.441544129,0.376563262,0.619404838,-0.289120761,0.554155727,0.275438249,0.47958153,0.48343061,0.892866559,0.291991365,-0.968842147,0.685620613,0.492847024,0.388526345,0.432793716,0.980164921,0.05087662,0.562203345,0.055204882,0.874852214,0.655934997,0.190885265,0.268302191,0.510932212,0.313198719,0.378429995,0.118927334,0.341642391,0.198573369,0.132971591,0.174047537,0.562203345,0.579457124,0.179958848,0.65981653,0.221910276,0.541702559,0.528392342,0.175179623,0.05010733,0.626365515,0.736083033,0.115037155,-0.536844284,0.299110803,0.595395809,0.114233593,0.276178407,0.57490874,0.107211245,-0.087508548,0.562725946
O14579,-0.046575893,-0.099717938,-0.088740884,-0.146448931,-0.187434266,-0.16658463,-0.136304406,0.084726782,-0.103130551,0.304399996,-0.327155122,-0.159500023,-0.373825396,-0.11252118,-0.166479233,-0.158342957,-0.065508392,-0.059687732,-0.166364198,-0.474552831,-0.091186577,-0.089087246,-0.072456571,-0.059395255,-0.138756375,-0.082453824,-0.145651614,-0.137576433,-0.129501726,-0.115787626,-0.073335379,-0.135427861,-0.166237532,-0.133659036,-0.129888328,0.054471563,-0.069634902,-0.059395255,-0.177928168,-0.105559269,-0.494098161,-0.074659161,-0.113391162,-0.140813454,0.033897015,0.104076457,-0.128499927,-0.139355977,-0.095349106,-0.096719487,0.049820163,-0.549066193,-0.054546902,-0.071143324,-0.105499251,-0.130570733,-0.121448523,-0.086808669
O14602,-0.13623451,-0.581545241,-0.573528252,-0.097045946,0.704921826,0.241402901,0.660550277,-0.146056492,-0.698738332,0.712556063,-0.318420026,0.224955018,0.571403739,0.151739134,0.066561536,-0.04431212,0.130527453,-1.037098687,-0.042310414,0.170625268,-1.052045973,-0.013195319,0.434619019,0.473230588,-0.196486891,0.062436779,-0.257067313,-0.07164286,0.485169765,-0.110799165,0.235757177,-0.275295473,0.326877862,-0.090548756,-0.204338496,-0.47905233,-0.245914654,0.465332518,0.140327979,0.570183084,0.136678386,0.714973214,0.566800203,0.023214488,0.596270286,0.355561183,-0.082076248,0.108547674,-0.005845681,-0.038855747,-0.112058698,-0.3324686,-0.532307808,0.41138524,0.123169652,-0.059424753,0.175088239,0.074570447
O14684,1.842141155,2.332080343,2.328179393,2.286343663,1.805788084,2.758052232,1.841648682,2.854821025,2.67672927,2.304436075,2.790845226,2.72903602,1.828515269,2.765052042,1.280879168,1.289015445,1.823208656,1.79745043,1.771607514,1.807756026,2.867172153,1.870377914,2.360101945,2.372614367,2.22498066,1.84659041,2.273402187,1.296003835,2.838192331,1.296764405,1.88067262,1.802543851,2.712322578,1.299921231,1.323236522,2.309710202,2.399381685,2.372614367,2.288313458,2.773000841,1.263800621,1.904989416,2.31861846,1.805860746,2.317760094,-0.069329316,1.830965233,1.308002425,1.864116054,2.374843516,1.765184224,1.237992954,1.495260087,2.393781024,1.783217797,1.335021378,1.833917268,1.316871536
O14737,-0.752269931,-0.857005783,-0.767426484,-0.826524499,-0.099215923,-0.804186865,-0.044616085,-0.84142427,-0.774260659,-0.06452505,-0.830802098,-0.797102258,-0.057749499,-0.843829054,-0.072242458,-0.815576784,-0.771202429,-0.76538177,-0.823598025,-0.783625092,-1.289179466,-1.002161461,0.090216555,-0.708537247,-0.795990202,-0.845507304,-1.721527288,-0.229249684,-0.118922389,-0.204411793,-1.268847413,-0.792661688,0.02146035,-0.190750451,-1.023028183,-0.971075515,-0.52857633,-0.613500663,-0.599594173,-0.108243956,-0.048904751,-0.723801153,-0.762533154,0.489845823,-0.721480018,-0.396793324,-1.041574142,-0.370909912,-1.295613807,-0.639663909,-0.975726916,-0.810515673,-1.250058935,-0.261093856,0.00062183,-0.78780456,-1.014588377,-1.017175668
O14745,0.152482105,0.692624353,0.637994705,0.359261215,0.018528037,0.17981535,1.175469658,-0.440443185,-1.333366465,0.691599649,-0.541968403,-0.699322258,0.638231856,-0.540490782,0.257962522,0.421177282,1.42901399,1.128209999,0.258077557,0.29805049,-0.525968385,-0.214788018,0.700862272,0.044571296,-0.282012899,-0.087500913,-0.288908137,0.429872624,0.290933239,0.845237142,-0.026769111,0.094524773,0.646332917,-0.808953978,-0.447272118,-0.586806255,-0.295636607,0.5698885,-0.025259392,1.049144392,-0.268156439,0.698659682,-0.009424611,0.256743784,0.702585207,0.75648777,-0.254200699,0.750321228,0.136861274,-0.012855725,-0.489425793,0.806754229,-0.007980633,0.721234886,-0.274353182,0.448949505,-1.336005454,0.112249329
O14818,-0.608786777,-0.103595986,0.02695346,0.082489267,-1.140671103,-0.190276199,0.443773866,0.194885495,-0.236275119,-0.450964798,-1.572995918,-0.431798109,-0.84128616,0.362072893,-0.08751531,-0.079379034,0.448511523,-0.091314247,-0.670215048,0.927037923,-0.286344824,-0.57958241,-0.221285784,0.206883436,-0.783498138,-0.543296882,0.606858341,-0.051920572,0.008421624,0.13560757,0.384865136,-0.869272619,-0.459921884,0.345516801,0.34928751,0.092442819,-0.182925981,-0.452172582,0.22995557,0.179305228,-0.001322863,-0.232589026,0.21377707,-0.377529145,0.174879254,0.603453909,-0.636189403,-0.382958379,-0.378302504,-0.176204472,0.366572981,0.125615877,-0.715353884,-0.274935589,-0.124709759,-0.051714005,0.457551624,-0.106019177
O14828,0.098001291,0.117991501,-0.521714775,0.089323048,-0.113821317,0.339572668,0.36789229,0.037926741,0.092533699,0.347983325,0.048548913,-0.028643344,1.201076852,-0.006617723,-0.032411859,-0.024275583,0.079068793,0.084889452,-0.032296824,0.007676109,0.03035585,0.03245518,0.442248,0.455309316,-0.004689001,0.039088603,-0.011584239,-0.016034006,0.372860537,0.078238461,0.429118335,0.755573977,0.355646419,-0.598236733,-0.594466025,-0.545254481,0.432818812,0.455309316,0.006658149,0.416324682,0.045274678,0.44004541,0.401313409,-0.00674608,0.411898708,0.459064883,-0.0069575,-0.005288603,0.026193321,0.392208081,-0.549905881,0.039755549,0.142384952,0.431218939,0.039077934,0.003496641,-0.58602622,0.057768515
O14880,0.937964312,1.170862602,1.06085247,1.168746981,-1.300937928,0.890738554,-2.353097622,1.359700612,1.388699216,-1.509907085,0.464460796,1.213725254,-0.032210338,0.866768223,1.131807341,0.983932132,0.919031813,0.894972478,0.946535906,1.015883823,0.946542584,1.033398417,-0.972759993,-0.183268379,1.159530199,1.205142164,0.996623475,0.664124729,0.231802069,0.836738886,0.82974223,1.006847228,-0.876477612,0.988826627,0.992597335,0.865658782,0.833442707,-1.236217583,0.934780091,-1.123171412,0.855357703,-1.287618943,0.801937304,1.001461634,-1.127597385,-1.067137635,0.993985736,1.158930597,0.996048377,1.255173056,0.861007381,0.156370709,1.037104316,-1.687032586,0.879040955,1.167715841,1.00103714,0.897731536
O14949,1.004889779,1.000618628,0.952519923,0.967452637,-0.210346983,0.585889324,0.241596872,0.870483104,0.624578609,0.221687907,1.152917382,-0.145658467,-1.332093379,0.839731123,0.934104129,0.942240406,0.985957281,0.99177794,0.934219165,0.974192098,0.661392652,1.012519022,-0.215970253,0.245344453,0.961826988,1.019152445,0.954931749,0.964029836,-0.192586716,0.627477594,0.629930004,0.965155502,-0.172725415,0.967947232,0.97171794,0.932584249,0.624181416,-0.202908937,0.641489562,-0.112047153,0.594513811,0.230080547,0.592676013,0.959769909,-0.116473126,-0.235049148,0.973106342,0.961227386,1.006257163,0.665081006,0.927932849,0.72449569,0.648718482,0.303218452,0.945966422,0.97001263,0.980157745,0.964657003
O14950,0.691887086,0.773244439,0.500381346,0.525514543,-0.168427825,0.124489695,0.113983143,0.082608381,0.100247615,0.231003887,0.858379601,-0.166907294,-0.215961971,0.168556554,0.959853151,1.381424635,1.024960579,0.255137189,0.843458511,1.015431564,0.26247299,0.734628514,-0.057313181,0.529415957,0.794505645,1.34034453,0.689065907,0.775107724,0.258005375,1.038533192,-0.096585936,0.981522943,-0.090046596,1.057023487,0.693279651,0.904167325,0.114635883,-0.242651708,0.584966913,0.059420494,1.051679781,-0.195001703,-0.000965756,0.821021646,-0.002549931,0.177397475,0.701464922,1.004434245,1.180032981,0.332734627,0.039556562,1.507190312,0.433474135,0.202388391,0.059566331,0.292099234,0.89321895,0.872011962
O14974,0.469510839,0.642183282,0.64414771,0.606003449,0.28756992,0.030535824,-0.390718247,0.62942079,0.736063143,0.310330873,0.412572166,0.377528508,0.411563737,0.485067714,0.593948551,0.376884457,0.45057834,0.48361274,0.398417108,0.408836148,0.432615694,0.434715024,0.387243006,0.400304322,0.62167141,0.65851697,0.3895758,0.603394362,0.335853444,0.449748009,0.442751353,0.399799552,0.306965538,0.390143234,0.393913942,0.397205308,0.44645183,0.400304322,0.407818188,0.3676438,0.443997965,0.385040415,0.346308415,0.394413959,0.363217827,0.045484197,0.395302343,0.621071808,0.456953007,0.427082783,0.392553908,0.087569533,0.46153983,0.394211846,0.410587481,0.629857051,0.402353747,0.429278063
O14979,-0.449938401,-1.171467748,-0.968105915,-1.060775966,0.453740413,-0.138857729,0.600804658,-0.285270356,-0.880583081,0.607989975,-0.866015527,0.017832252,0.376105582,0.128205097,-0.390437721,-1.067718075,0.023830473,-1.546381924,-0.754778522,-0.229081812,-0.860802593,-0.542561865,-0.018634977,0.187923749,-0.188145372,-0.114307721,-0.195839574,-0.504336725,-0.134902125,0.456205333,-0.622489233,-0.564011786,0.228284716,-0.475150356,-0.588307404,-0.191525782,0.325094518,-0.334999569,-0.420335446,0.307535269,-0.867729638,0.083387502,0.019239644,-0.196320713,-0.232057568,-0.37909251,-0.347606345,0.049552146,-1.055013851,-0.474739843,-1.1297693,-1.128364827,-0.775611653,0.62510828,-0.551234514,-1.732040356,-1.165947207,-0.233623166
O14980,-0.292568464,-0.298682346,-0.342436546,-0.312021767,-1.553365352,-0.874744685,-2.161120252,-0.349330302,-0.31125794,-1.743615396,-0.613999798,-0.358841048,-1.593153206,-0.351735086,-0.347823523,-0.339687246,-0.311500962,-0.305680303,-0.347708487,-0.307735555,-0.202506059,-0.280973076,-1.57880059,-1.039963092,-0.320100664,-0.274339653,-0.326995903,-0.329462262,-1.582930361,-0.312331294,-1.211687056,-0.242263961,-1.514171881,-0.298791658,-0.29502095,-0.338170626,-1.207986579,-1.565739274,-0.308753514,-1.453493618,-0.345295077,-1.58100318,-1.239491982,-0.322157744,-1.457919592,-0.07079669,-0.320385756,-0.246192077,-0.287234935,-1.182629929,-0.342822026,0.187476232,-1.192898578,-1.52457196,-0.271075564,-0.311915023,-0.286581145,-0.252384982
O15042,-0.079537064,-1.018089797,-0.276297704,-0.154873473,0.130886247,-0.216300248,0.130278436,0.050835714,-0.491239793,0.63861806,-0.081185046,-0.024132256,-0.078189446,0.220767557,0.03293869,0.168589764,-0.114692638,0.083820543,-0.049372768,0.134898774,-0.001899474,0.024145434,0.201889905,0.040969133,0.060661549,-0.440659127,-0.181149855,-0.280587846,0.220067926,0.077169553,-0.0490567,-0.095614408,0.340930648,0.001144064,0.014067637,0.010390442,0.01208932,0.214951221,0.008517782,0.40160891,0.036839486,0.199687315,-0.019416083,-0.021670261,0.208894511,0.127857905,-0.015267247,0.054952103,-0.387816403,-0.058262369,-0.473248603,0.03868664,-0.030268222,0.191177894,-0.125490954,0.113191992,-0.013000773,-0.106800373
